Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,oligotrophus,108,0.002
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muricauda,lutimaris,107,0.002
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,elegans,107,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Peptoniphilus,coxii,107,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,,106,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,,105,0.002
Bacteria,Thermi,Deinococci,Thermales,Thermaceae,Thermus,,104,0.002
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella,,104,0.002
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium,subtsugae,103,0.002
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobacter,chitinivorans,103,0.002
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,swingsii,102,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,succinatutens,101,0.002
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,,,,101,0.002
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,isbiliense,101,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,,100,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dokdonella,fugitiva,100,0.002
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,luteus,99,0.002
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,ovina,98,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,histolyticum,97,0.002
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,flavidum,96,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Desulfobacteraceae,Desulfobacter,,96,0.002
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,,96,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Thiovirga,sulfuroxydans,95,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,,95,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,ponti,95,0.002
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Tepidanaerobacter,syntrophicus,94,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Natronincola,,93,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,taeniosporum,92,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,pneumoniae,92,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,,,91,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Serinicoccus,,90,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocapsa,,90,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,rossii,90,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter,anthropi,90,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,cavendishii,90,0.002
Bacteria,Caldithrix,Caldithrixae,Caldithrixales,Caldithrixaceae,Caldithrix,,90,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,indicus,89,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,,88,0.002
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,granulomatis,88,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,cardiffensis,87,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,,87,0.002
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Anaerovibrio,lipolyticus,87,0.002
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,kwangyangensis,85,0.002
Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Leptotrichiaceae,Sebaldella,termitidis,85,0.002
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,roseogilvus,84,0.002
Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Arthronema,africanum,84,0.002
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,tiedjei,83,0.002
